@RELATION tweets-test
@ATTRIBUTE text string
@ATTRIBUTE retweets numeric
@ATTRIBUTE favorites numeric
@ATTRIBUTE dimension {"Governance", "Products & Services", "Performance", "Workplace", "Citizenship", "Innovation", "Leadership"}
@data
"Bugatti Vayron Grand Sport!🔳Follow and like my recent posts!#McLaren #p1 #gtr #fast #money #me #bmw #i8 #Bugatt... ", 0, 0, "Products & Services"
"REVELL 1:12 DIECAST BMW Mini Cooper RED RHD NEW IN ...  #Deals_UK |  ", 0, 0, "Products & Services"
"2000 BMW K1200LT Upper Top Triple Tree WITH LOCK K 1200 LT  ", 0, 0, "Products & Services"
"50 years of BMW Motorsport ... 50 years of Sheer Driving Pleasure! @bmw @BMWMotorsport @bmwcolombia ", 1, 0, "Products & Services"
"Congrats to the BMWi3 range extender 4 winning our Top10 Plug-in cars 2 own. BMWi @BMW_UK @bmw  ", 3, 2, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 1, 1, "Products & Services"
"BMW’s Electric Car Circles Berlin in Search of an Outlet  via @BloombergNews ", 1, 0, "Products & Services"
".@Robert_Eastwood sent us this amazing photo of his travels near Forks of the Credit Park in BMW Leo. Send us yours! ", 1, 0, "Products & Services"
"bmw book for my new 2015 😝 ", 0, 0, "Products & Services"
"The popular BMW i3 won a 2015 green car of the year award. ", 0, 0, "Products & Services"
"bmw mv3 alloy wheels  #AlloyWheels ", 0, 0, "Products & Services"
"We know, it's Monday. But hopefully two Burton #BMW machines brighten your day like they do ours. ", 1, 2, "Products & Services"
"RT @BMWGroup: BMW i8 wins Top Gear Car of the Year.  #BMWi #i8  #FormulaE Safety Car #FEBuzz", 1, 1, "Products & Services"
"It's #ShowSomeLove to your BMW day. How are you going to show some love to your car? ", 0, 0, "Products & Services"
"Distributor Rotor BOSCH 04142 fits 82-84 BMW 733i 3.2L-L6  ", 0, 0, "Products & Services"
"670-Horsepower BMW “Thing” Plugs Into Performance ", 0, 0, "Products & Services"
"Note to Bay Area BMW owners (there are a shit ton): they stall in water and void warranty. Don't even try it.  ", 5, 0, "Products & Services"
"2015 BMW 6 Series | Official specs and pictures | Digital Trends  ", 2, 6, "Products & Services"
"Thanks #BMW great week here @pgasofeurope Annual congress and Team event ", 3, 1, "Products & Services"
"Such a nice display at @bmw Zentrum! #GVL ", 0, 0, "Products & Services"
"Disc Brake Rotor-Brembo Rear Left WD EXPRESS 405 06073 253 fits 94-99 BMW M3  ", 1, 0, "Products & Services"
"BMW Championship practice balls are now for sale. Great holiday gift for any golfer!  ", 4, 2, "Products & Services"
"#BMW receives Euro NCAP Advanced award for Pedestrian Warning with City Braking Activation.  ", 37, 35, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 1, "Products & Services"
"Actually, there ARE worse drivers than that gal in the parking lot: in California for example:  ", 0, 0, "Products & Services"
"#BMW This really is a green love passion 👌 ", 1, 0, "Products & Services"
"This really looks like the BMW X6 ... only better RT @businessinsider  ", 0, 0, "Products & Services"
"RT @wearemotofire: @SimonHbikes riding the @BMWMotorradUK R1200R launch in Spain. #fireitup #motorcycle #bmw #R1200R ", 1, 0, "Products & Services"
"“@HuffingtonPost  over shadow @MEBIGFOOT @StubHub @VW @bmw @Audi @MercedesBenz! @Chinhhuynh4583 @CBC", 0, 1, "Products & Services"
"BMW M6 #competition package ", 3, 1, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"BMW i8 Hybrid Sports  #футуристические #идеи #легковые #автомобили ", 0, 0, "Products & Services"
"@bmw Looks great in the flesh! ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Is it wrong that, after a horrendous car accident, I still think my car looks really cool??? #bmw #grateful ", 0, 0, "Products & Services"
" BMW I8 Concept Car 6V Ride-On for $139 + free shipping #HeadlinesApp ", 0, 0, "Products & Services"
"BMW Genuine OEM Carrier plate, right 51-13-8-236-890  ", 0, 0, "Products & Services"
"BMW Genuine OEM Sheet metal screw 07-14-9-177-361  ", 0, 0, "Products & Services"
"RT @ContentHackers Why a headline analyzer can help you write better headlines? ", 7, 8, "Products & Services"
"@BMW Art Car by Jeff Koons (6) ", 0, 0, "Products & Services"
"2002 BMW 320CI SE AUTO COUPE FACTORY MV SPORT ALLOYS FULL LEATHER IMMACULATE!!!!  #BMW #C... ", 0, 0, "Products & Services"
"BMW Genuine OEM LOCKING BUTTON 51-43-8-173-510  ", 0, 0, "Products & Services"
"What year is this Alpina? #BMW #Alpina ", 0, 0, "Products & Services"
"FOR SALE: A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Bmw X6 Wrapped Matt Black. All Done For teebonka 2014 ©THANK YOU. #mattblack #bmwx6 #carporn… ", 0, 0, "Products & Services"
"2014 BMW X6 M Individual#BMW Over 800 000 photos of cars:   ", 0, 0, "Products & Services"
"@bmwcanada here is my 80's #BMW  it's been in my family since we did European delivery in July of 1982. ", 0, 0, "Products & Services"
"BMW Genuine OEM Mirror glas heated convex ri 51-16-7-177-128  ", 0, 0, "Products & Services"
"BMW Genuine OEM Hex nut with plate 07-14-7-117-776  ", 0, 0, "Products & Services"
"BMW 7 Series rumors | 2016 model may feature WiFi | Digital Trends  ", 1, 2, "Products & Services"
" UNLOCKED BMW 760 MINI FLIP CELL PHONE CAMERA MP3 Russian mobile phone DUAL BAND #mobilep... ", 1, 0, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"@OFFICIAL_JOHN @AustMark I had the audiovox CMT 500 first installed in the BMW back in 1984 ", 1, 2, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"I'm at HAPO BMW  ", 2, 0, "Products & Services"
"2000 BMW K1200LT Battery Cable Ground Wire K 1200 LT  ", 0, 0, "Products & Services"
"BMW i8#Bugatti #Lamborghini #blacklist #BMWi8 #Fisker #Mercedes #Pagani #Maserati #Porsche #Ferrari #Porsche911... ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 1, 0, "Products & Services"
"FOR SALE: A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
" Hamann Shows Off BMW M4 Coupe. ", 3, 0, "Products & Services"
"1999 BMW 523I SE AUTO BLACK  #AlloyWheels ", 0, 0, "Products & Services"
"BMW E36 COUPE CONVERTIBLE CABRIO TAN BEIGE COIN TRAY HOLDER 2 DOOR PANEL POCKET  ", 0, 0, "Products & Services"
"Bmw ..i8 ❤️❤️❤️✌️ ", 1, 0, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Cant stop day dreaming about #BMW #V8 #MPower in their #E93 #M3. ", 0, 0, "Products & Services"
"BMW ISETTA HISTORIC PARK  WALLPAPER DIGITAL IMAGE PICTURE CARS AWESOME HQ PHOTO  ", 0, 0, "Products & Services"
"Saw this beast today! BMW I8, such a nice car @bmw ", 0, 0, "Products & Services"
"So it's official - @BBC_TopGear 's car of the year is the BMW i8. Would you have chosen any different? ", 1, 1, "Products & Services"
"Bmw 120d Ecu remapped to gain more Bhp  torque #bmw #remap #bhp #torque #diesel ", 3, 1, "Products & Services"
"BMW : 5-Series Base Sedan 4-Door 2012 bmw 528 i xdrive sedan 4 door white all premium sp...  ", 0, 0, "Products & Services"
"BMW 328 MILLE MIGLIA WALLPAPER DIGITAL IMAGE PICTURE CARS AWESOME HQ PHOTO  ", 0, 0, "Products & Services"
"FOR SALE: A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"“@FemaIeThings: major goals 😛😍  and to have that bmw", 0, 0, "Products & Services"
"Used 2014 #BMW #328, 16,547 miles, listed for $37,994 under used  ", 0, 0, "Products & Services"
"‼️OFFER TO ALL‼️[PCH]BMW 420d Msport coupeAuto £310+VAT x24Man £295+VAT x24-1 PAYMENT DEPOSIT-ACT QUICK! ", 0, 0, "Products & Services"
"BMW : Other 2014 BMW S1000RR Motorsport White/Blue/Red 1,300 niles, LIKE NEW -  ", 0, 0, "Products & Services"
"Owning a bmw is a collar apropos of sexual pleasure, really does the flat dvd: JIEl", 0, 0, "Products & Services"
"BMW shows 670-hp plug-in 5 Series GT concept", 0, 0, "Products & Services"
"BMW i8 on Boylston ", 5, 0, "Products & Services"
"I miss my 1990 BMW E34 525i. Noe waiting for the spring in a warm garage. See more pics on  ", 0, 1, "Products & Services"
"2007 BMW 320 SE DIESEL DARK BLUE METALLIC  @exhausting @ClarkP2011 @FlyAsHellin_YSL ", 0, 0, "Products & Services"
"FOR SALE: A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"#drive #bmw #fun by sabirshaikhs #Streetstyle #dubai #BurjKhalifa #ArmaniHotel ", 0, 0, "Products & Services"
"The bmw leasing is the triumph capacity for speak up togs: KotvdWmD", 0, 0, "Products & Services"
"Don't forget -- on top of BMW, we've got Brammo, Ural and EBR bikes! Stop by for a test ride sometime! ", 0, 0, "Products & Services"
