id_str,text
"530695288055681024","@ShawnMendes 
GET IT TO #1!
#SomethingBigToNumber1 #SomethingBigOnElvis 
😍 PLS VIP TIX !🙏
http://t.co/EO2AB1xSYI 
🙆🙆ILY &amp; SO PROUD❤️X554"
"530695287824973824","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530695287681982464","""@F00DP0RN: Chocolate Cake #F00DP0RN http://t.co/rsPerkDB5N"""
"530695287249981440","RT @badboyfairytale: Pre-order “FOR YOU” and get “The Heart Wants What it Wants” - http://t.co/jnarMXnFBv (U.S) ITS HERE!! https://t.co/nTj…"
"530695286344003585","#mlp apple...dash http://t.co/qIdRXG5Y2N"
"530695285895598080","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530695285341974528","RT @ShawnMendes: We're #7 on iTunes ! 🙆 #SomethingBigOnElvis song is playing live on air now ! http://t.co/p7YQYwmTbq keep downloading http…"
"530695285224505344","I'm earning #mPOINTS with #SplatDaBat ! http://t.co/mzlWbgr6Oe #app"
"530695284872192001","RT to send $1 of food to those in need! #Farm4Good @WholesomeWave @FarmVille2 http://t.co/iaBc6Qo0QK http://t.co/Gg5iMZlxdo"
"530695284217888769","RT @JackJackJohnson: http://t.co/3mqSxnk9vW GO GET @ShawnMendes new song! #SomethingBigToNumber1"
"530695283328688129","@ShawnMendes #SOMETHINGBIGTONUMBER1 https://t.co/JKTx1TAZnD GO GET SOMETHING BIG ON ITUNES #shawndeservesthis 😘😘😘😘 x180"
"530695283169304576","RT @jandrove24: .@BorgeousMusic - Breathe 🔊💦 || Download: http://t.co/8lEbF1Bfcc @EMPOTV #edmfamily #filthydrops #ilovesickdrops https://t.…"
"530695283131568128","Play @FarmVille2 to help @WholesomeWave charity #Farm4Good w/ @NakedJuice! DL: http://t.co/kDA1kR3vRD http://t.co/due9lkhCTt"
"530695279297982464","RT @Nashgrier: Make sure to get @ShawnMendes new single!- http://t.co/g76beP6HmF let's get it to #1 ! Congrats man! Amazing music! #Somethi…"
"530695278631079936","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530696044364189696","RT @Nashgrier: Make sure to get @ShawnMendes new single!- http://t.co/g76beP6HmF let's get it to #1 ! Congrats man! Amazing music! #Somethi…"
"530696042556444672","BUY SOMETHING BIG ON ITUNES IS AMAZING , 
@ShawnMendes ILY 👇👇👇👇👇😍😍😍😍 , PLEASE FOLLOW ME 
https://t.co/aK7Xr0bpq1 …  251"
"530696042539278337","IF U LOVE GOOD RECORD THIS DESERVE TO U  
http://t.co/qzUMInv0ha
#SomethingBigToNumber1 
@ShawnMendes 
PLEASE FOLLOW ME ILYSM
16"
"530696042203717634","I scored 1650 BasedPoints in Lil B's Based Adventure! http://t.co/MbhhdGQ3yR #rare #based"
"530696041105219584","RT @MyLifeIsSelG: 'The Heart Wants What It Wants' http://t.co/rdvdLxNjMM"
"530696040853536768","@ShawnMendes GO GET SOMETHING BIG NOW! #SomethingBigToNumber1 http://t.co/emxVt7cSop http://t.co/arXScwt4MD x1018"
"530696039871688704","RT @ShawnMendes: We're #7 on iTunes ! 🙆 #SomethingBigOnElvis song is playing live on air now ! http://t.co/p7YQYwmTbq keep downloading http…"
"530696039133876225","RT @Nashgrier: Make sure to get @ShawnMendes new single!- http://t.co/g76beP6HmF let's get it to #1 ! Congrats man! Amazing music! #Somethi…"
"530696037284200448","RT @NBCNewYork: The Rockefeller Center tree is finally in the Big Apple! http://t.co/OHlmDnLorR http://t.co/9nwAovCEum"
"530696036986421249","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530696036969230336","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530696036344680449","#Photography #Photographer What do you call it? Apple? by Tom Lukomsky http://t.co/RQoSZUcldr http://t.co/Giq9ZNMu6d"
"530696035078004736","@ShawnMendes GO GET SOMETHING BIG NOW! #SomethingBigToNumber1 http://t.co/emxVt7cSop http://t.co/arXScwt4MD x1019"
"530696034817933312","@ShawnMendes
🙌🙆 GO DOWNLOAD ''SOMETHING BIG'' ON ITUNES! ✌
#SomethingBigToNumber1
#SomethingBigOnElvis
http://t.co/Vr9dfJXL12
🌸✖️🌸✖️🌸✖️
369"
"530696034708893696","#Farm4Good, RETWEET &amp; play @FarmVille2 to help raise $ for @WholesomeWave charity http://t.co/0VSdq2g8t3 http://t.co/2FxcyRBloI"
"530696797837348864","#cellular #deals http://t.co/BhoKjSk3Bi NIB NEW Apple iPhone 4 Black VERIZON 8GB MD439LL/A iCloud 5MP Camera Ce... http://t.co/YpQ25Q5eVk"
"530696797178826752","PRE-ORDER: https://t.co/0nM4xNvgVe (CH)
#TheHeartsWantsWhatItWants"
"530696796428054528","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530696796314415105","RT @cliffordsbest: When Michael's adams apple pokes you in the eye #vote5sos http://t.co/v0CKPicEwc"
"530696795685285889","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530696794653876224","GO BUY THE LOML'S SINGLE ON ITUNES https://t.co/BlWG9zYuMC IT'S ONLY $0.99 YOU WONT REGRET IT"
"530696794247024640","RT @Nashgrier: Make sure to get @ShawnMendes new single!- http://t.co/g76beP6HmF let's get it to #1 ! Congrats man! Amazing music! #Somethi…"
"530696793714352129","RT @MrsGiFletcher: RT to win a signed card filled with festive cheer! 'The silence and beauty...' #XmasBAM http://t.co/2MTKv6EDoL http://t.…"
"530696793487458304","Play @FarmVille2 to help @WholesomeWave charity #Farm4Good w/ @NakedJuice! DL: http://t.co/zOoF9oWabh http://t.co/ojIEi7RSom"
"530696792783204352","RT @MrsGiFletcher: RT to win a signed card filled with festive cheer! 'The silence and beauty...' #XmasBAM http://t.co/2MTKv6EDoL http://t.…"
"530696792435097600","I'm TAMAGO HD Addicted! I knocked 220412 times the egg!  with #TAMAGOHD http://t.co/YGludMTA59 http://t.co/pYnzqbYNr6"
"530696791822307329","RT to help @WholesomeWave charity #Farm4Good w/ @NakedJuice &amp; @FarmVille2. Play: http://t.co/sKCoyXokZj http://t.co/veFwKFPZqa"
"530696791764004864","@ShawnMendes
🙌🙆 GO DOWNLOAD ''SOMETHING BIG'' ON ITUNES! ✌
#SomethingBigToNumber1
#SomethingBigOnElvis
http://t.co/Vr9dfJXL12 
🌸🍀🌸🍀🌸🍀
371"
"530696791763611648","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530696791482974208","WE CAN DO IT GUYYYSS !! BUY SOMETHING BIG ON ITUNES !! 💜

http://t.co/4YO6W5zSUu

#SomethingBigToNumber1"
"530697556742131712","RT @taylorcaniff: DAMN! Get @JacobWhitesides new single as well!!! https://t.co/UthxUOEEak #BuyWordsOniTunes good stuff man!"
